continent,country,population,date,new_cases,active_cases,cases_per_million,total_cases,new_deaths,deaths_per_million,total_deaths,tests_per_million,total_tests
Africa,Eritrea,3662244.0,2026-02-16,,0.0,2782,10189,,28,103.0,6470,23693.0
Africa,Niger,26083660.0,2026-02-16,,729.0,381,9931,,12,312.0,9759,254538.0
Africa,Saint-Helena,6115.0,2026-02-16,,2164.0,354211,2166,,,,,
South-America,Falkland-Islands,3539.0,2026-02-16,,0.0,545352,1930,,,,2439107,8632.0
North-America,Montserrat,4965.0,2026-02-16,,19.0,282578,1403,,1611,8.0,3577442,17762.0
,Diamond-Princess,,2026-02-16,,0.0,,712,,,13.0,,
Europe,Vatican-City,799.0,2026-02-16,,0.0,36295,29,,,,,
Africa,Western-Sahara,626161.0,2026-02-16,,0.0,16,10,,2,1.0,,
,MS-Zaandam,,2026-02-16,,0.0,,9,,,2.0,,
Asia,China,1448471400.0,2026-02-16,,118977.0,347,503302,,4,5272.0,110461,160000000.0
Africa,Liberia,5305117.0,2026-02-16,,12.0,1525,8090,,56,295.0,26356,139824.0
Oceania,Nauru,10903.0,2026-02-16,,45.0,494635,5393,,92,1.0,1881042,20509.0
North-America,Caribbean-Netherlands,26647.0,2026-02-16,+3,1168.0,438398,11682,,1426,38.0,1130559,30126.0
Africa,Comoros,907419.0,2026-02-16,,9.0,10038,9109,,177,161.0,,
Africa,Guinea-Bissau,2063367.0,2026-02-16,,508.0,4659,9614,,86,177.0,70385,145231.0
Africa,Chad,17413580.0,2026-02-16,,2633.0,442,7701,,11,194.0,10988,191341.0
North-America,Sint-Maarten,43966.0,2026-02-16,,54.0,251353,11051,,2093,92.0,1411454,62056.0
Oceania,Wallis-and-Futuna,10982.0,2026-02-16,,3104.0,323256,3550,,728,8.0,1867419,20508.0
North-America,St-Barth,9945.0,2026-02-16,,,553746,5507,,603,6.0,7908095,78646.0
North-America,Saint-Kitts-and-Nevis,53871.0,2026-02-16,,0.0,122645,6607,,891,48.0,2356704,126958.0
Oceania,Tokelau,1378.0,2026-02-16,,80.0,58055,80,,,,,
Oceania,Kiribati,123419.0,2026-02-16,,2358.0,41201,5085,,194,24.0,,
North-America,St-Vincent-Grenadines,111551.0,2026-02-16,,57.0,86723,9674,,1112,124.0,1023720,114197.0
North-America,Antigua-and-Barbuda,99509.0,2026-02-16,,6.0,91509,9106,,1467,146.0,189943,18901.0
Africa,Sierra-Leone,8306436.0,2026-02-16,,,937,7779,,15,126.0,31296,259958.0
North-America,British-Virgin-Islands,30596.0,2026-02-16,,,241600,7392,,2092,64.0,3508269,107339.0
Oceania,Cook-Islands,17571.0,2026-02-16,,51.0,409937,7203,,114,2.0,1120596,19690.0
Africa,Sao-Tome-and-Principe,227679.0,2026-02-16,,13.0,29770,6778,,351,80.0,130008,29600.0
North-America,Turks-and-Caicos,39741.0,2026-02-16,,3.0,169900,6752,,1007,40.0,15520193,616788.0
Oceania,Palau,18233.0,2026-02-16,,4.0,344979,6290,,548,10.0,3917841,71434.0
North-America,Anguilla,15230.0,2026-02-16,,,256336,3904,,788,12.0,3373736,51382.0
North-America,Saint-Pierre-Miquelon,5759.0,2026-02-16,,1001.0,599410,3452,,347,2.0,4410488,25400.0
Oceania,Tuvalu,12066.0,2026-02-16,,,243909,2943,,83,1.0,,
Oceania,Niue,1622.0,2026-02-16,,3.0,652898,1059,,,,,
North-America,Cayman-Islands,67277.0,2026-02-16,,22882.0,467797,31472,,550,37.0,3311280,222773.0
Africa,Congo,5797805.0,2026-02-16,,983.0,4377,25375,,67,386.0,59991,347815.0
North-America,Nicaragua,6779100.0,2026-02-16,,14041.0,2728,18491,,33,225.0,,
Asia,Tajikistan,9957464.0,2026-02-16,,397.0,1786,17786,,13,125.0,,
Africa,Djibouti,1016097.0,2026-02-16,,74.0,15441,15690,,186,189.0,301094,305941.0
North-America,Greenland,56973.0,2026-02-16,,9189.0,210117,11971,,369,21.0,2894810,164926.0
Africa,Equatorial-Guinea,1496662.0,2026-02-16,+7,139.0,11512,17229,,122,183.0,244342,365697.0
Africa,Somalia,16841795.0,2026-02-16,+10,12791.0,1623,27334,,81,1361.0,23778,400466.0
North-America,Bermuda,61939.0,2026-02-16,+11,10.0,304493,18860,+2,2664,165.0,16622128,1029558.0
Africa,Gambia,2558482.0,2026-02-16,+28,65.0,4935,12626,,145,372.0,60851,155686.0
North-America,Grenada,113475.0,2026-02-16,+10,97.0,173545,19693,,2097,238.0,1612523,182981.0
Oceania,Vanuatu,321832.0,2026-02-16,,29.0,37346,12019,,44,14.0,77606,24976.0
Asia,Timor-Leste,1369429.0,2026-02-16,,220.0,17131,23460,,101,138.0,203391,278529.0
Africa,Lesotho,2175699.0,2026-02-16,,9435.0,16610,36138,,332,723.0,198199,431221.0
North-America,Haiti,11680283.0,2026-02-16,,73.0,2968,34667,,74,860.0,11337,132422.0
Europe,Faeroe-Islands,49233.0,2026-02-16,,,703959,34658,,569,28.0,15802409,778000.0
Africa,Mali,21473764.0,2026-02-16,,89.0,1544,33164,,35,743.0,37483,804909.0
North-America,Saint-Lucia,185113.0,2026-02-16,,0.0,163225,30215,,2215,410.0,1139752,210983.0
Africa,Benin,12784726.0,2026-02-16,,26.0,2193,28036,,13,163.0,47268,604310.0
Asia,Macao,667490.0,2026-02-16,,24063.0,41458,27673,,184,123.0,11760,7850.0
Oceania,Micronesia,117489.0,2026-02-16,,,225953,26547,,553,65.0,701598,82430.0
Europe,San-Marino,34085.0,2026-02-16,,46.0,768226,26185,,3755,128.0,5775414,196855.0
Oceania,Solomon-Islands,721159.0,2026-02-16,,,35989,25954,,276,199.0,,
Africa,Burkina-Faso,22102838.0,2026-02-16,,118.0,1001,22114,,18,400.0,11265,248995.0
Europe,Liechtenstein,38387.0,2026-02-16,,,562013,21574,,2449,94.0,2929559,112457.0
Europe,Gibraltar,33704.0,2026-02-16,,,609720,20550,,3353,113.0,15852213,534283.0
Africa,South-Sudan,11618511.0,2026-02-16,,557.0,1620,18819,,13,147.0,35313,410280.0
Europe,Monaco,39783.0,2026-02-16,,,431868,17181,,1684,67.0,1976875,78646.0
Oceania,Samoa,202239.0,2026-02-16,,15370.0,84089,17006,,153,31.0,926612,187397.0
Oceania,Tonga,107749.0,2026-02-16,,1299.0,157310,16950,,121,13.0,4965327,535009.0
Oceania,Marshall-Islands,60057.0,2026-02-16,,0.0,268711,16138,,283,17.0,,
North-America,Dominica,72344.0,2026-02-16,,0.0,221691,16038,,1023,74.0,3170187,229344.0
Africa,CAR,5016678.0,2026-02-16,,127.0,3078,15440,,23,113.0,16205,81294.0
North-America,Saint-Martin,39730.0,2026-02-16,,,310194,12324,,1586,63.0,2828643,112382.0
Asia,Yemen,31154867.0,2026-02-16,,662.0,383,11945,,69,2159.0,10579,329592.0
North-America,Cura&ccedil;ao,165529.0,2026-02-16,,971.0,277812,45986,,1782,295.0,3000640,496693.0
Europe,Isle-of-Man,85732.0,2026-02-16,,,443335,38008,,1353,116.0,1758422,150753.0
South-America,French-Guiana,314169.0,2026-02-16,+13,86367.0,312065,98041,,1337,420.0,2072951,651257.0
Europe,Channel-Islands,176463.0,2026-02-16,+91,168.0,576421,101717,,1292,228.0,7099551,1252808.0
Africa,Mayotte,286259.0,2026-02-16,+19,,146815,42027,,657,188.0,618038,176919.0
North-America,Bahamas,400516.0,2026-02-16,,874.0,95087,38084,,2107,844.0,643767,257839.0
Oceania,Fiji,909466.0,2026-02-16,,1006.0,75997,69117,,973,885.0,739866,672883.0
South-America,Suriname,596831.0,2026-02-16,,,138378,82588,,2359,1408.0,405822,242207.0
North-America,Aruba,107609.0,2026-02-16,,1494.0,410969,44224,,2714,292.0,1653068,177885.0
Africa,Cameroon,27911548.0,2026-02-16,,125.0,4492,125379,,71,1974.0,62762,1751774.0
Europe,Malta,444033.0,2026-02-16,,386.0,273448,121420,,1993,885.0,4888375,2170600.0
North-America,Barbados,288023.0,2026-02-16,,1283.0,383921,110578,,2250,648.0,2826715,814159.0
Africa,Angola,35027343.0,2026-02-16,,1971.0,3064,107327,,55,1937.0,42818,1499795.0
Africa,DRC,95240792.0,2026-02-16,,13381.0,1043,99338,,15,1468.0,8890,846704.0
Africa,Malawi,20180839.0,2026-02-16,,,4437,89535,,133,2686.0,30959,624784.0
Africa,Senegal,17653671.0,2026-02-16,,58.0,5044,89053,,112,1971.0,64946,1146543.0
Africa,Ivory-Coast,27742298.0,2026-02-16,,52.0,3186,88384,,30,835.0,60951,1690934.0
Oceania,New-Caledonia,290915.0,2026-02-16,,,275214,80064,,1079,314.0,340182,98964.0
